,correct,questions,responses,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
22,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""4"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",28881,1009809,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
24,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",31205,1064902,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
26,"[True, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money."",""True""]",14240,1128161,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
28,"[True, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money."",""True""]",23081,1163443,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
30,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",14794,1195932,survey-multi-choice,A11UOM2LJ69AE7,33PPUNGG385VWXJ09DEYZC6T4SPRZU,0
48,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""All of the above.""]",149057,402420,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
50,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""All of the above.""]",66686,603740,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
52,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money."",""All of the above.""]",44165,723165,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
54,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""Whether I observed the rewards of relevant locations.""]",20619,761339,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
56,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""Whether I chose the move that was best according to the information I had.""]",24196,793143,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
58,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]",18719,819267,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
60,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]",33177,862131,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
62,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""4"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""All of the above.""]",20982,890765,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
64,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""All of the above.""]",15399,915519,survey-multi-choice,A12X43VFAKMR89,36ZN444YTRY64U2AHH985MYYXS3IOF,1
81,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""Whether I chose the move that was best according to the information I had.""]",57259,134336,survey-multi-choice,A13VIJ7G997ZCY,3NQL1CS15R8NKEQCMBHPM2MUJ3VYVY,2
83,"[True, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""Whether I chose the move that was best according to the information I had.""]",23208,212120,survey-multi-choice,A13VIJ7G997ZCY,3NQL1CS15R8NKEQCMBHPM2MUJ3VYVY,2
85,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""All of the above.""]",11209,250793,survey-multi-choice,A13VIJ7G997ZCY,3NQL1CS15R8NKEQCMBHPM2MUJ3VYVY,2
102,"[False, True, False, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.00"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds.""]",71353,213082,survey-multi-choice,A154B3Q5DTHN7,3ZPPDN2SLVWRH2WIJ90ZNH5HAZ8E9K,3
104,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds.""]",47591,316063,survey-multi-choice,A154B3Q5DTHN7,3ZPPDN2SLVWRH2WIJ90ZNH5HAZ8E9K,3
106,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds.""]",51956,460879,survey-multi-choice,A154B3Q5DTHN7,3ZPPDN2SLVWRH2WIJ90ZNH5HAZ8E9K,3
123,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""All of the above.""]",42988,197326,survey-multi-choice,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
125,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""Whether I chose the move that was best according to the information I had.""]",34371,270772,survey-multi-choice,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
127,"[False, False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""1"",""False"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""All of the above.""]",59240,385852,survey-multi-choice,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
129,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the value of one of the locations I visit (minus the cost of making observations), and I will actually be paid the earnings from one of the 12 rounds."",""All of the above.""]",16991,433668,survey-multi-choice,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
131,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""Whether I observed the rewards of relevant locations.""]",26464,474107,survey-multi-choice,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
133,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""What does the feedback teach me?""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""All of the above.""]",16138,527526,survey-multi-choice,A1566PXUS5NDCA,3LEP4MGT3G05DPXFLY3B85IMYOCBD2,4
151,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""False""]",36817,205689,survey-multi-choice,A15V8K8M4TXT9Y,31JLPPHS2UURERKRWE2L1GW9E943OW,5
153,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",20222,231138,survey-multi-choice,A15V8K8M4TXT9Y,31JLPPHS2UURERKRWE2L1GW9E943OW,5
155,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",10275,274748,survey-multi-choice,A15V8K8M4TXT9Y,31JLPPHS2UURERKRWE2L1GW9E943OW,5
157,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""3"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",15091,364187,survey-multi-choice,A15V8K8M4TXT9Y,31JLPPHS2UURERKRWE2L1GW9E943OW,5
175,"[False, True, True, True, False, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the value of one of the locations I visit (minus the cost of making observations), and I will actually be paid the earnings from one of the 12 rounds."",""False""]",50256,262354,survey-multi-choice,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
177,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",36609,437915,survey-multi-choice,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
179,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the value of one of the locations I visit (minus the cost of making observations), and I will actually be paid the earnings from one of the 12 rounds."",""True""]",23969,468596,survey-multi-choice,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
181,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the value of one of the locations I visit (minus the cost of making observations), and I will actually be paid the earnings from one of the 12 rounds."",""True""]",26183,501190,survey-multi-choice,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
183,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",19464,533239,survey-multi-choice,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
185,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the value of one of the locations I visit (minus the cost of making observations), and I will actually be paid the earnings from one of the 12 rounds."",""True""]",16145,555970,survey-multi-choice,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
187,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""1"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 12 rounds."",""True""]",32651,622658,survey-multi-choice,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
189,"[False, True, True, True, False, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?"",""True of false: The duration of the delay tells me how much more money I could have earned by planning and deciding better.""]","[""2"",""True"",""$0.10"",""As many or as few as I wish"",""My earnings for each round are equal to the value of one of the locations I visit (minus the cost of making observations), and I will actually be paid the earnings from one of the 12 rounds."",""True""]",9308,665531,survey-multi-choice,A16SR2HQIWRFD6,3OWEPKL089CRXPL2XB5YZ88KT2NN7A,6
