,correct,questions,responses,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
84,"[False, False, True, False, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""False"",""$0.05"",""At most 10"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",13181,280293,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
86,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",199318,532369,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
88,"[False, True, True, False, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""At most 15"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",107451,647214,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
90,"[False, True, True, False, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""At most 1"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",77728,731816,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
92,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",67878,806147,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
94,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",143796,955562,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
96,"[False, True, False, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.00"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",23498,985406,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
98,"[False, True, False, False, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.00"",""At most 15"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",12679,1003564,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
100,"[False, True, False, False, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.00"",""At most 5"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",95943,1105468,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
102,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",204392,1314265,survey-multi-choice,A1HWB810RJBV2K,3SLE99ER0ND8GQ2BDGS8ZX1OJFXBZP,3
125,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",43833,111989,survey-multi-choice,A1PTH9KTRO06EG,3NOKK93PR188CYNZRKGLFV6RY61EEM,4
148,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",47775,496607,survey-multi-choice,A1YVMDRR9W1LZ1,3XUHV3NRVKYK0PL86KVOW4XRDTUH54,5
150,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",25841,622752,survey-multi-choice,A1YVMDRR9W1LZ1,3XUHV3NRVKYK0PL86KVOW4XRDTUH54,5
152,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",75285,780681,survey-multi-choice,A1YVMDRR9W1LZ1,3XUHV3NRVKYK0PL86KVOW4XRDTUH54,5
175,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",44205,219998,survey-multi-choice,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
177,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",22925,288981,survey-multi-choice,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
179,"[False, True, True, False, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""At most 15"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",33602,371732,survey-multi-choice,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
181,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",41149,448406,survey-multi-choice,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
183,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",30681,501805,survey-multi-choice,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
185,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",67483,647684,survey-multi-choice,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
187,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",14936,668403,survey-multi-choice,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
189,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",32556,765924,survey-multi-choice,A25YG9M911WA3T,3VP0C6EFSGW2B7MX20L6GFJNQA4M6Y,6
212,"[False, False, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""False"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",229200,355117,survey-multi-choice,A28FMRMS9TMEOZ,3483FV8BEEJC43I4SI2M165PK4H26F,7
214,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",106150,469808,survey-multi-choice,A28FMRMS9TMEOZ,3483FV8BEEJC43I4SI2M165PK4H26F,7
216,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",203482,694466,survey-multi-choice,A28FMRMS9TMEOZ,3483FV8BEEJC43I4SI2M165PK4H26F,7
239,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",45127,49124,survey-multi-choice,A2E9NUZZ4S2VJ9,3YJ6NA41JBGKK5YHEZ7N6NINHLZJPX,8
262,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",52298,210068,survey-multi-choice,A2MCG5W6LHSRG9,3JC6VJ2SABJ5Q2DU0ELWFIAN0Y45AH,9
264,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",32126,262928,survey-multi-choice,A2MCG5W6LHSRG9,3JC6VJ2SABJ5Q2DU0ELWFIAN0Y45AH,9
287,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",88155,156404,survey-multi-choice,A2NA2OJT15COZY,3Q5ZZ9ZEVOFR7EKF3G1IJR4SAA458D,10
310,"[False, False, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""False"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",54466,224138,survey-multi-choice,A2VRDE2FHCBMF8,38F5OAUN5NCZNTZRUDALUOBN4ZPH7J,11
312,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",19265,303739,survey-multi-choice,A2VRDE2FHCBMF8,38F5OAUN5NCZNTZRUDALUOBN4ZPH7J,11
335,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",196641,591688,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
337,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",81672,679638,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
339,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",15269,711930,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
341,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",39215,783370,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
343,"[True, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",12273,802261,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
345,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",16819,825211,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
347,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",8037,847343,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
349,"[False, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",13018,878603,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
351,"[False, True, True, False, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""1"",""True"",""$0.05"",""At most 15"",""My earning for each round is equal to the value of one of the locations I visit (minus the cost of making observations), but these earnings aren't real money.""]",9084,899701,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
353,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I visit (minus the cost of making observations), but these earnings aren't real money.""]",66146,975441,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
355,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""2"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the value of one of the locations I vist (minus the cost of making observations), and I will actually be paid the earnings from one of the 20 rounds.""]",8220,990779,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
357,"[False, True, True, True, False]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), but these earnings aren't real money.""]",25181,1032552,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
359,"[True, True, True, True, True]","[""How many flights are taken per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""Which statement is TRUE?""]","[""3"",""True"",""$0.05"",""As many or as few as I wish"",""My earning for each round is equal to the <i>sum</i> of the values of all locations I visit (minus the cost of making observations), and I will be paid the earnings from one of the 20 rounds.""]",33911,1071880,survey-multi-choice,A2XNO2KWLLGW6Z,39KFRKBFINVSUUHFLZVBRASLKKCOYF,12
